7906 34  85  86
7296 34  85  90
7288 34  86  90
7288 85  86  90
6620 36  85  86
6602 34  36  85
6602 34  36  86
6464 36  85  90
6272 34  36  90
6272 36  86  90
5420 39  85  86
5402 34  39  85
5402 34  39  86
4984 34  59  85
4984 34  59  86
4984 59  85  86
4976 39  85  90
4784 34  39  90
4784 39  86  90
4744 34  63  85
4744 34  63  86
4744 63  85  86
4736 59  85  90
4608 34  53  85
4608 34  53  86
4608 34  53  90
4608 53  85  86
4608 53  85  90
4608 53  86  90
4556 36  39  85
4548 24  85  86
4544 34  59  90
4544 59  86  90
4538 24  34  85
4530 24  34  86
4496 63  85  90
4464 34  67  85
4464 34  67  86
4464 67  85  86
4424 36  59  85
4408 24  85  90
4384 34  76  85
4384 34  76  86
4384 76  85  86
4364 36  39  86
4346 34  36  39
4304 34  63  90
4304 63  86  90
4232 34  36  59
4232 36  59  86
4216 24  34  90
4208 24  86  90
4208 36  39  90
4184 36  63  85
4156 59  63  85
4128 36  59  90
4016 2   34  85
4016 2   34  86
4016 2   85  86
3992 34  36  63
3992 36  63  86
3976 34  67  90
3976 67  85  90
3976 67  86  90
3964 34  59  63
3964 59  63  86
3952 85  90  110
3944 34  85  110
3944 34  86  110
3944 85  86  110
3920 2   39  85
3908 1   85  86
3898 1   34  85
3896 34  76  90
3896 76  85  90
3896 76  86  90
3890 1   34  86
3888 36  63  90
3856 34  90  110
3856 86  90  110
3848 36  85  110
3808 1   34  90
3808 1   85  90
3804 1   36  85
3804 1   36  86
3800 1   86  90
3788 59  63  90
3786 1   34  36
3776 34  56  85
3776 34  56  86
3776 34  85  93
3776 34  86  93
3776 56  85  86
3776 85  86  93
3760 36  90  110
3752 34  36  110
3752 36  86  110
3744 34  36  53
3744 36  53  85
3744 36  53  86
3744 36  53  90
3728 2   34  39
3728 2   39  86
3696 1   36  90
3680 2   85  90
3680 36  59  63
3664 59  85  93
3656 34  56  90
3656 56  85  90
3656 56  86  90
3640 2   59  85
3608 3   85  86
3602 3   34  85
3602 3   34  86
3592 39  59  85
3560 85  90  93
3540 24  36  85
3528 34  36  56
3528 36  56  85
3528 36  56  86
3520 34  67  76
3520 67  76  85
3520 67  76  86
3488 2   34  90
3488 2   86  90
3488 24  36  90
3480 36  85  93
3472 34  59  93
3472 59  86  93
