
PUBLISHER                                LANGUAGE             GENRE                PERCENTAGE
---------------------------------------- -------------------- -------------------- ----------
Deep Thoughts                            Arabic               Historical               0.0007
Deep Thoughts                            Arabic               Multi-Cultural           0.0005
Deep Thoughts                            Arabic               Mystery                  0.0007
Deep Thoughts                            Arabic               Poetry                   0.0018
Deep Thoughts                            Arabic               Religious                0.0015
Deep Thoughts                            Arabic               Romance                  0.0003
Deep Thoughts                            Arabic               Science                  0.0011
Deep Thoughts                            Arabic               -                        0.0068
Deep Thoughts                            Cantonese            Historical               0.0005
Deep Thoughts                            Cantonese            Multi-Cultural           0.0007
Deep Thoughts                            Cantonese            Mystery                  0.0012
Deep Thoughts                            Cantonese            Poetry                   0.0021
Deep Thoughts                            Cantonese            Religious                0.0004
Deep Thoughts                            Cantonese            Romance                  0.0003
Deep Thoughts                            Cantonese            Science                  0.0011
Deep Thoughts                            Cantonese            -                        0.0065
Deep Thoughts                            English              Historical               0.0018
Deep Thoughts                            English              Multi-Cultural           0.0033
Deep Thoughts                            English              Mystery                  0.0046
Deep Thoughts                            English              Poetry                   0.0037
Deep Thoughts                            English              Religious                0.0019
Deep Thoughts                            English              Romance                  0.0015
Deep Thoughts                            English              Science                  0.0034
Deep Thoughts                            English              -                        0.0205
Deep Thoughts                            Farsi                Historical               0.0005
Deep Thoughts                            Farsi                Multi-Cultural           0.0009
Deep Thoughts                            Farsi                Mystery                  0.0011
Deep Thoughts                            Farsi                Poetry                   0.0019
Deep Thoughts                            Farsi                Religious                0.0009
Deep Thoughts                            Farsi                Romance                  0.0005
Deep Thoughts                            Farsi                Science                  0.0008
Deep Thoughts                            Farsi                -                        0.0069
Deep Thoughts                            French               Historical               0.0010
Deep Thoughts                            French               Multi-Cultural           0.0012
Deep Thoughts                            French               Mystery                  0.0032
Deep Thoughts                            French               Poetry                   0.0066
Deep Thoughts                            French               Religious                0.0003
Deep Thoughts                            French               Romance                  0.0026
Deep Thoughts                            French               Science                  0.0022
Deep Thoughts                            French               -                        0.0174
Deep Thoughts                            Hebrew               Historical               0.0007
Deep Thoughts                            Hebrew               Multi-Cultural           0.0013
Deep Thoughts                            Hebrew               Mystery                  0.0017
Deep Thoughts                            Hebrew               Poetry                   0.0022
Deep Thoughts                            Hebrew               Religious                0.0034
Deep Thoughts                            Hebrew               Romance                  0.0006
Deep Thoughts                            Hebrew               Science                  0.0008
Deep Thoughts                            Hebrew               -                        0.0110
Deep Thoughts                            Italian              Historical               0.0006
Deep Thoughts                            Italian              Multi-Cultural           0.0009
Deep Thoughts                            Italian              Mystery                  0.0023
Deep Thoughts                            Italian              Poetry                   0.0028
Deep Thoughts                            Italian              Religious                0.0013
Deep Thoughts                            Italian              Romance                  0.0008
Deep Thoughts                            Italian              Science                  0.0016
Deep Thoughts                            Italian              -                        0.0105
Deep Thoughts                            Japanese             Historical               0.0006
Deep Thoughts                            Japanese             Multi-Cultural           0.0007
Deep Thoughts                            Japanese             Mystery                  0.0011
Deep Thoughts                            Japanese             Poetry                   0.0032
Deep Thoughts                            Japanese             Religious                0.0007
Deep Thoughts                            Japanese             Romance                  0.0007
Deep Thoughts                            Japanese             Science                  0.0013
Deep Thoughts                            Japanese             -                        0.0086
Deep Thoughts                            Korean               Historical               0.0008
Deep Thoughts                            Korean               Multi-Cultural           0.0005
Deep Thoughts                            Korean               Mystery                  0.0017
Deep Thoughts                            Korean               Poetry                   0.0014
Deep Thoughts                            Korean               Religious                0.0004
Deep Thoughts                            Korean               Romance                  0.0003
Deep Thoughts                            Korean               Science                  0.0007
Deep Thoughts                            Korean               -                        0.0061
Deep Thoughts                            Mandarin             Historical               0.0010
Deep Thoughts                            Mandarin             Multi-Cultural           0.0024
Deep Thoughts                            Mandarin             Mystery                  0.0009
Deep Thoughts                            Mandarin             Poetry                   0.0018
Deep Thoughts                            Mandarin             Religious                0.0005
Deep Thoughts                            Mandarin             Romance                  0.0002
Deep Thoughts                            Mandarin             Science                  0.0013
Deep Thoughts                            Mandarin             -                        0.0083
Deep Thoughts                            Russian              Historical               0.0012
Deep Thoughts                            Russian              Multi-Cultural           0.0005
Deep Thoughts                            Russian              Mystery                  0.0012
Deep Thoughts                            Russian              Poetry                   0.0050
Deep Thoughts                            Russian              Religious                0.0007
Deep Thoughts                            Russian              Romance                  0.0008
Deep Thoughts                            Russian              Science                  0.0014
Deep Thoughts                            Russian              -                        0.0111
Deep Thoughts                            Spanish              Historical               0.0009
Deep Thoughts                            Spanish              Multi-Cultural           0.0008
Deep Thoughts                            Spanish              Mystery                  0.0022
Deep Thoughts                            Spanish              Poetry                   0.0026
Deep Thoughts                            Spanish              Religious                0.0005
Deep Thoughts                            Spanish              Romance                  0.0009
Deep Thoughts                            Spanish              Science                  0.0013
Deep Thoughts                            Spanish              -                        0.0095
Deep Thoughts                            Urdu                 Historical               0.0004
Deep Thoughts                            Urdu                 Multi-Cultural           0.0007
Deep Thoughts                            Urdu                 Mystery                  0.0008
Deep Thoughts                            Urdu                 Poetry                   0.0019
Deep Thoughts                            Urdu                 Religious                0.0007
Deep Thoughts                            Urdu                 Romance                  0.0004
Deep Thoughts                            Urdu                 Science                  0.0009
Deep Thoughts                            Urdu                 -                        0.0062
Deep Thoughts                            -                    Historical               0.0113
Deep Thoughts                            -                    Multi-Cultural           0.0149
Deep Thoughts                            -                    Mystery                  0.0232
Deep Thoughts                            -                    Poetry                   0.0375
Deep Thoughts                            -                    Religious                0.0137
Deep Thoughts                            -                    Romance                  0.0104
Deep Thoughts                            -                    Science                  0.0184
Deep Thoughts                            -                    -                        0.1297
Hawkers                                  Arabic               Fantasy                  0.0020
Hawkers                                  Arabic               Fiction                  0.0042
Hawkers                                  Arabic               Historical               0.0025
Hawkers                                  Arabic               Mystery                  0.0008
Hawkers                                  Arabic               Romance                  0.0010
Hawkers                                  Arabic               Science Fiction          0.0013
Hawkers                                  Arabic               Short Stories            0.0017
Hawkers                                  Arabic               Western                  0.0006
Hawkers                                  Arabic               -                        0.0144
Hawkers                                  Cantonese            Fantasy                  0.0028
Hawkers                                  Cantonese            Fiction                  0.0034
Hawkers                                  Cantonese            Historical               0.0020
Hawkers                                  Cantonese            Mystery                  0.0011
Hawkers                                  Cantonese            Romance                  0.0008
Hawkers                                  Cantonese            Science Fiction          0.0015
Hawkers                                  Cantonese            Short Stories            0.0014
Hawkers                                  Cantonese            Western                  0.0012
Hawkers                                  Cantonese            -                        0.0144
Hawkers                                  English              Fantasy                  0.0096
Hawkers                                  English              Fiction                  0.0183
Hawkers                                  English              Historical               0.0060
Hawkers                                  English              Mystery                  0.0042
Hawkers                                  English              Romance                  0.0034
Hawkers                                  English              Science Fiction          0.0050
Hawkers                                  English              Short Stories            0.0029
Hawkers                                  English              Western                  0.0100
Hawkers                                  English              -                        0.0597
Hawkers                                  Farsi                Fantasy                  0.0021
Hawkers                                  Farsi                Fiction                  0.0034
Hawkers                                  Farsi                Historical               0.0019
Hawkers                                  Farsi                Mystery                  0.0013
Hawkers                                  Farsi                Romance                  0.0013
Hawkers                                  Farsi                Science Fiction          0.0014
Hawkers                                  Farsi                Short Stories            0.0008
Hawkers                                  Farsi                Western                  0.0006
Hawkers                                  Farsi                -                        0.0131
Hawkers                                  French               Fantasy                  0.0045
Hawkers                                  French               Fiction                  0.0078
Hawkers                                  French               Historical               0.0040
Hawkers                                  French               Mystery                  0.0025
Hawkers                                  French               Romance                  0.0058
Hawkers                                  French               Science Fiction          0.0017
Hawkers                                  French               Short Stories            0.0010
Hawkers                                  French               Western                  0.0027
Hawkers                                  French               -                        0.0302
Hawkers                                  Hebrew               Fantasy                  0.0025
Hawkers                                  Hebrew               Fiction                  0.0032
Hawkers                                  Hebrew               Historical               0.0030
Hawkers                                  Hebrew               Mystery                  0.0013
Hawkers                                  Hebrew               Romance                  0.0009
Hawkers                                  Hebrew               Science Fiction          0.0015
Hawkers                                  Hebrew               Short Stories            0.0008
Hawkers                                  Hebrew               Western                  0.0004
Hawkers                                  Hebrew               -                        0.0138
Hawkers                                  Italian              Fantasy                  0.0041
Hawkers                                  Italian              Fiction                  0.0039
Hawkers                                  Italian              Historical               0.0022
Hawkers                                  Italian              Mystery                  0.0018
Hawkers                                  Italian              Romance                  0.0017
Hawkers                                  Italian              Science Fiction          0.0014
Hawkers                                  Italian              Short Stories            0.0010
Hawkers                                  Italian              Western                  0.0015
Hawkers                                  Italian              -                        0.0178
Hawkers                                  Japanese             Fantasy                  0.0028
Hawkers                                  Japanese             Fiction                  0.0049
Hawkers                                  Japanese             Historical               0.0022
Hawkers                                  Japanese             Mystery                  0.0011
Hawkers                                  Japanese             Romance                  0.0015
Hawkers                                  Japanese             Science Fiction          0.0037
Hawkers                                  Japanese             Short Stories            0.0041
Hawkers                                  Japanese             Western                  0.0014
Hawkers                                  Japanese             -                        0.0220
Hawkers                                  Korean               Fantasy                  0.0025
Hawkers                                  Korean               Fiction                  0.0030
Hawkers                                  Korean               Historical               0.0018
Hawkers                                  Korean               Mystery                  0.0011
Hawkers                                  Korean               Romance                  0.0008
Hawkers                                  Korean               Science Fiction          0.0029
Hawkers                                  Korean               Short Stories            0.0010
Hawkers                                  Korean               Western                  0.0005
Hawkers                                  Korean               -                        0.0139
Hawkers                                  Mandarin             Fantasy                  0.0037
Hawkers                                  Mandarin             Fiction                  0.0081
Hawkers                                  Mandarin             Historical               0.0031
Hawkers                                  Mandarin             Mystery                  0.0008
Hawkers                                  Mandarin             Romance                  0.0006
Hawkers                                  Mandarin             Science Fiction          0.0020
Hawkers                                  Mandarin             Short Stories            0.0017
Hawkers                                  Mandarin             Western                  0.0010
Hawkers                                  Mandarin             -                        0.0212
Hawkers                                  Russian              Fantasy                  0.0051
Hawkers                                  Russian              Fiction                  0.0059
Hawkers                                  Russian              Historical               0.0046
Hawkers                                  Russian              Mystery                  0.0010
Hawkers                                  Russian              Romance                  0.0014
Hawkers                                  Russian              Science Fiction          0.0024
Hawkers                                  Russian              Short Stories            0.0013
Hawkers                                  Russian              Western                  0.0008
Hawkers                                  Russian              -                        0.0227
Hawkers                                  Spanish              Fantasy                  0.0061
Hawkers                                  Spanish              Fiction                  0.0106
Hawkers                                  Spanish              Historical               0.0027
Hawkers                                  Spanish              Mystery                  0.0014
Hawkers                                  Spanish              Romance                  0.0026
Hawkers                                  Spanish              Science Fiction          0.0020
Hawkers                                  Spanish              Short Stories            0.0017
Hawkers                                  Spanish              Western                  0.0044
Hawkers                                  Spanish              -                        0.0318
Hawkers                                  Urdu                 Fantasy                  0.0022
Hawkers                                  Urdu                 Fiction                  0.0046
Hawkers                                  Urdu                 Historical               0.0019
Hawkers                                  Urdu                 Mystery                  0.0010
Hawkers                                  Urdu                 Romance                  0.0009
