
YEAR        MONTH       DAY         SMOOTHED_SALES                   
----------- ----------- ----------- ---------------------------------
       2012           1           1                           8657.70
       2012           1           2                           9071.42
       2012           1           3                           9084.53
       2012           1           4                           9801.44
       2012           1           5                           9992.57
       2012           1           6                          10037.03
       2012           1           7                          10387.29
       2012           1           8                          10238.65
       2012           1           9                          10071.47
       2012           1          10                          10093.30
       2012           1          11                           9917.17
       2012           1          12                           9899.93
       2012           1          13                           9793.87
       2012           1          14                           9902.73
       2012           1          15                           9777.61
       2012           1          16                           9776.46
       2012           1          17                           9853.74
       2012           1          18                           9776.65
       2012           1          19                           9678.86
       2012           1          20                           9644.52
       2012           1          21                           9697.07
       2012           1          22                           9680.55
       2012           1          23                           9681.89
       2012           1          24                           9747.64
       2012           1          25                           9699.50
       2012           1          26                           9621.14
       2012           1          27                           9623.87
       2012           1          28                           9626.51
       2012           1          29                           9550.57
       2012           1          30                           9540.33
       2012           1          31                           9501.73
       2012           2           1                           9555.98
       2012           2           2                           9542.67
       2012           2           3                           9610.42
       2012           2           4                           9590.99
       2012           2           5                           9537.65
       2012           2           6                           9550.19
       2012           2           7                           9392.68
       2012           2           8                           9440.42
       2012           2           9                           9512.30
       2012           2          10                           9506.94
       2012           2          11                           9586.88
       2012           2          12                           9633.55
       2012           2          13                           9737.56
       2012           2          14                           9746.83
       2012           2          15                           9745.70
       2012           2          16                           9815.28
       2012           2          17                           9759.94
       2012           2          18                           9770.40
       2012           2          19                           9855.82
       2012           2          20                           9907.50
       2012           2          21                           9888.96
       2012           2          22                           9932.46
       2012           2          23                          10004.26
       2012           2          24                           9929.42
       2012           2          25                           9892.62
       2012           2          26                          10002.30
       2012           2          27                           9897.51
       2012           2          28                           9855.97
       2012           2          29                          10005.57
       2012           3           1                          10068.78
       2012           3           2                          10127.95
       2012           3           3                          10110.64
       2012           3           4                          10190.83
       2012           3           5                          10181.71
       2012           3           6                          10124.09
       2012           3           7                          10134.62
       2012           3           8                          10099.64
       2012           3           9                          10195.34
       2012           3          10                          10120.26
       2012           3          11                          10064.06
       2012           3          12                          10031.54
       2012           3          13                          10042.85
       2012           3          14                           9996.75
       2012           3          15                           9938.57
       2012           3          16                           9842.78
       2012           3          17                           9883.20
       2012           3          18                           9876.08
       2012           3          19                           9847.41
       2012           3          20                           9832.47
       2012           3          21                           9980.13
       2012           3          22                          10173.99
       2012           3          23                          10301.56
       2012           3          24                          10369.95
       2012           3          25                          10381.85
       2012           3          26                          10544.57
       2012           3          27                          10925.82
       2012           3          28                          11251.24
       2012           3          29                          11718.80
       2012           3          30                          12181.07
       2012           3          31                          12728.87
       2012           4           1                          13284.19
       2012           4           2                          14171.64
       2012           4           3                          15170.92
       2012           4           4                          16179.87
       2012           4           5                          17339.95
       2012           4           6                          18989.92
       2012           4           7                          20938.30
       2012           4           8                          23165.95
       2012           4           9                          25680.30
       2012           4          10                          29035.60
       2012           4          11                          33167.75
       2012           4          12                          37457.51
       2012           4          13                          42620.12
       2012           4          14                          48369.67
       2012           4          15                          54449.88
       2012           4          16                          61887.62
       2012           4          17                          70570.10
       2012           4          18                          79994.27
       2012           4          19                          90488.86
       2012           4          20                         102191.52
       2012           4          21                         114988.35
       2012           4          22                         129466.93
       2012           4          23                         145753.58
       2012           4          24                         163183.70
       2012           4          25                         182503.21
       2012           4          26                         203897.69
       2012           4          27                         227093.09
       2012           4          28                         252462.92
       2012           4          29                         279167.86
       2012           4          30                         307495.62
       2012           5           1                         337678.36
       2012           5           2                         369511.13
       2012           5           3                         403477.49
       2012           5           4                         438963.81
       2012           5           5                         476429.48
       2012           5           6                         514456.58
       2012           5           7                         554416.48
       2012           5           8                         595145.12
       2012           5           9                         636290.02
       2012           5          10                         678635.70
       2012           5          11                         721434.02
       2012           5          12                         763592.99
       2012           5          13                         807531.20
       2012           5          14                         848737.22
       2012           5          15                         889454.79
       2012           5          16                         930504.45
       2012           5          17                         970073.44
       2012           5          18                        1008144.30
       2012           5          19                        1044960.21
       2012           5          20                        1078673.71
       2012           5          21                        1111114.44
       2012           5          22                        1140338.37
       2012           5          23                        1167151.25
       2012           5          24                        1190259.46
       2012           5          25                        1210137.39
       2012           5          26                        1226510.14
       2012           5          27                        1239207.54
       2012           5          28                        1247661.22
       2012           5          29                        1252926.63
       2012           5          30                        1254809.68
       2012           5          31                        1253328.77
       2012           6           1                        1247753.42
       2012           6           2                        1238077.87
       2012           6           3                        1224420.01
       2012           6           4                        1207508.33
       2012           6           5                        1186819.96
       2012           6           6                        1163599.16
       2012           6           7                        1136239.90
       2012           6           8                        1107548.23
       2012           6           9                        1076387.51
       2012           6          10                        1042197.03
       2012           6          11                        1005536.28
       2012           6          12                         967507.05
       2012           6          13                         926266.47
       2012           6          14                         886240.25
       2012           6          15                         845331.45
       2012           6          16                         802862.41
       2012           6          17                         760286.92
       2012           6          18                         717536.46
       2012           6          19                         674460.97
       2012           6          20                         632991.16
       2012           6          21                         591138.09
       2012           6          22                         550983.33
       2012           6          23                         511226.32
       2012           6          24                         473293.14
       2012           6          25                         437008.03
       2012           6          26                         402392.14
       2012           6          27                         369129.52
       2012           6          28                         338036.31
       2012           6          29                         307773.26
       2012           6          30                         279478.65
       2012           7           1                         252970.57
       2012           7           2                         228501.53
       2012           7           3                         206379.37
       2012           7           4                         185756.37
       2012           7           5                         166870.04
       2012           7           6                         149852.00
       2012           7           7                         134607.64
       2012           7           8                         121294.45
       2012           7           9                         108359.71
       2012           7          10                          97452.74
       2012           7          11                          88000.29
       2012           7          12                          79920.43
       2012           7          13                          73339.92
       2012           7          14                          68297.52
       2012           7          15                          64115.84
       2012           7          16                          60862.66
       2012           7          17                          58783.12
       2012           7          18                          57368.78
       2012           7          19                          56768.10
       2012           7          20                          57055.28
       2012           7          21                          58393.75
       2012           7          22                          60450.33
       2012           7          23                          63730.38
       2012           7          24                          67552.74
       2012           7          25                          71620.12
       2012           7          26                          76824.86
       2012           7          27                          82362.28
       2012           7          28                          88816.86
       2012           7          29                          96032.51
       2012           7          30                         104659.85
       2012           7          31                         114326.78
       2012           8           1                         124316.15
       2012           8           2                         135423.73
       2012           8           3                         147566.08
       2012           8           4                         160545.08
       2012           8           5                         174442.22
       2012           8           6                         189283.24
       2012           8           7                         204623.11
       2012           8           8                         220652.89
       2012           8           9                         237991.02
       2012           8          10                         256274.71
       2012           8          11                         275196.46
       2012           8          12                         295964.67
       2012           8          13                         317502.88
       2012           8          14                         339573.81
       2012           8          15                         361722.99
       2012           8          16                         384930.34
       2012           8          17                         408615.36
       2012           8          18                         433060.07
       2012           8          19                         458328.37
       2012           8          20                         484278.31
       2012           8          21                         511625.69
       2012           8          22                         538281.83
       2012           8          23                         564713.02
       2012           8          24                         591586.50
       2012           8          25                         619749.20
       2012           8          26                         647499.11
       2012           8          27                         674924.48
       2012           8          28                         703122.76
       2012           8          29                         730281.78
       2012           8          30                         755612.60
       2012           8          31                         780390.52
       2012           9           1                         805454.39
       2012           9           2                         828835.53
       2012           9           3                         851073.34
       2012           9           4                         872956.23
